r-5317exit;Class;PhysicalObject;
p5346a;Class;Pump;
p-1504start;Class;PhysicalObject;
ul111;Class;PhysicalObject;
cwrexit_naoh;Class;PhysicalObject;
p5346b;Class;Pump;
mx-5371exit;Class;PhysicalObject;
e-2228;Class;PhysicalObject;
p5338a;Class;Pump;
xv2228;Class;Valve;
PREPARAZIONE_NAOH_20%.txtcwstart_naoh;Class;PhysicalObject;
p-5102a-bstart;Class;PhysicalObject;
p5338b;Class;Pump;
s2226b;Class;Tank;
mx2234;Class;PhysicalObject;
xv2230a-4;Class;Valve;
exit1;Class;PhysicalObject;
ul110;Class;PhysicalObject;
s-2230a;Class;Tank;
PREPARAZIONE_NAOH_20%.txtexit2;Class;PhysicalObject;
xv2230b-4;Class;Valve;
p2227b;Class;Pump;
p2227a;Class;Pump;
exit;Class;PhysicalObject;
s-2230b;Class;Tank;
Flusso_709;Class;Flow;
Flusso_709;ObjectProperty;startIn;p5346a
Flusso_709;ObjectProperty;endIn;r-5317exit
Flusso_710;Class;Flow;
Flusso_710;ObjectProperty;startIn;p5346b
Flusso_710;ObjectProperty;endIn;r-5317exit
Flusso_711;Class;Flow;
Flusso_711;ObjectProperty;startIn;s2226b
Flusso_711;ObjectProperty;endIn;p5346a
Flusso_712;Class;Flow;
Flusso_712;ObjectProperty;startIn;p-1504start
Flusso_712;ObjectProperty;endIn;ul111
Flusso_713;Class;Flow;
Flusso_713;ObjectProperty;startIn;e-2228
Flusso_713;ObjectProperty;endIn;cwrexit_naoh
Flusso_714;Class;Flow;
Flusso_714;ObjectProperty;startIn;s2226b
Flusso_714;ObjectProperty;endIn;p5346b
Flusso_715;Class;Flow;
Flusso_715;ObjectProperty;startIn;p5338a
Flusso_715;ObjectProperty;endIn;mx-5371exit
Flusso_716;Class;Flow;
Flusso_716;ObjectProperty;startIn;p5338b
Flusso_716;ObjectProperty;endIn;mx-5371exit
Flusso_717;Class;Flow;
Flusso_717;ObjectProperty;startIn;xv2228
Flusso_717;ObjectProperty;endIn;e-2228
Flusso_718;Class;Flow;
Flusso_718;ObjectProperty;startIn;mx2234
Flusso_718;ObjectProperty;endIn;e-2228
Flusso_719;Class;Flow;
Flusso_719;ObjectProperty;startIn;s2226b
Flusso_719;ObjectProperty;endIn;p5338a
Flusso_720;Class;Flow;
Flusso_720;ObjectProperty;startIn;PREPARAZIONE_NAOH_20%.txtcwstart_naoh
Flusso_720;ObjectProperty;endIn;xv2228
Flusso_721;Class;Flow;
Flusso_721;ObjectProperty;startIn;s2226b
Flusso_721;ObjectProperty;endIn;p5338b
Flusso_722;Class;Flow;
Flusso_722;ObjectProperty;startIn;p-5102a-bstart
Flusso_722;ObjectProperty;endIn;s2226b
Flusso_723;Class;Flow;
Flusso_723;ObjectProperty;startIn;p2227a
Flusso_723;ObjectProperty;endIn;s2226b
Flusso_724;Class;Flow;
Flusso_724;ObjectProperty;startIn;ul110
Flusso_724;ObjectProperty;endIn;mx2234
Flusso_725;Class;Flow;
Flusso_725;ObjectProperty;startIn;ul111
Flusso_725;ObjectProperty;endIn;mx2234
Flusso_726;Class;Flow;
Flusso_726;ObjectProperty;startIn;e-2228
Flusso_726;ObjectProperty;endIn;xv2230a-4
Flusso_727;Class;Flow;
Flusso_727;ObjectProperty;startIn;s-2230a
Flusso_727;ObjectProperty;endIn;exit1
Flusso_728;Class;Flow;
Flusso_728;ObjectProperty;startIn;p2227b
Flusso_728;ObjectProperty;endIn;ul110
Flusso_729;Class;Flow;
Flusso_729;ObjectProperty;startIn;xv2230a-4
Flusso_729;ObjectProperty;endIn;s-2230a
Flusso_730;Class;Flow;
Flusso_730;ObjectProperty;startIn;s-2230b
Flusso_730;ObjectProperty;endIn;PREPARAZIONE_NAOH_20%.txtexit2
Flusso_731;Class;Flow;
Flusso_731;ObjectProperty;startIn;e-2228
Flusso_731;ObjectProperty;endIn;xv2230b-4
Flusso_732;Class;Flow;
Flusso_732;ObjectProperty;startIn;s2226b
Flusso_732;ObjectProperty;endIn;p2227b
Flusso_733;Class;Flow;
Flusso_733;ObjectProperty;startIn;s2226b
Flusso_733;ObjectProperty;endIn;p2227a
Flusso_734;Class;Flow;
Flusso_734;ObjectProperty;startIn;s2226b
Flusso_734;ObjectProperty;endIn;exit
Flusso_735;Class;Flow;
Flusso_735;ObjectProperty;startIn;xv2230b-4
Flusso_735;ObjectProperty;endIn;s-2230b
fic2234-2;Class;Sensor;
m3-h;Class;UnitOfMeasure;
fic2234-2;ObjectProperty;canMeasureIn;m3-h
fic2234-2;ObjectProperty;isContainedIn;ul111
fic2234-1;Class;Sensor;
m2-h;Class;UnitOfMeasure;
fic2234-1;ObjectProperty;canMeasureIn;m2-h
fic2234-1;ObjectProperty;isContainedIn;ul110
di2230a;Class;Sensor;
kg-m3;Class;UnitOfMeasure;
di2230a;ObjectProperty;canMeasureIn;kg-m3
di2230a;ObjectProperty;isContainedIn;s-2230a
li2226b;Class;Sensor;
percentage;Class;UnitOfMeasure;
li2226b;ObjectProperty;canMeasureIn;percentage
li2226b;ObjectProperty;isContainedIn;s2226b
li2230a;Class;Sensor;
percentage;Class;UnitOfMeasure;
li2230a;ObjectProperty;canMeasureIn;percentage
li2230a;ObjectProperty;isContainedIn;s-2230a
di2230b;Class;Sensor;
kg-m3;Class;UnitOfMeasure;
di2230b;ObjectProperty;canMeasureIn;kg-m3
di2230b;ObjectProperty;isContainedIn;s-2230b
li2230b;Class;Sensor;
percentage;Class;UnitOfMeasure;
li2230b;ObjectProperty;canMeasureIn;percentage
li2230b;ObjectProperty;isContainedIn;s-2230b
p5346a;ObjectProperty;to;r-5317exit
p5346b;ObjectProperty;to;r-5317exit
s2226b;ObjectProperty;to;p5346a
p-1504start;ObjectProperty;to;ul111
e-2228;ObjectProperty;to;cwrexit_naoh
s2226b;ObjectProperty;to;p5346b
p5338a;ObjectProperty;to;mx-5371exit
p5338b;ObjectProperty;to;mx-5371exit
xv2228;ObjectProperty;to;e-2228
mx2234;ObjectProperty;to;e-2228
s2226b;ObjectProperty;to;p5338a
PREPARAZIONE_NAOH_20%.txtcwstart_naoh;ObjectProperty;to;xv2228
s2226b;ObjectProperty;to;p5338b
p-5102a-bstart;ObjectProperty;to;s2226b
p2227a;ObjectProperty;to;s2226b
ul110;ObjectProperty;to;mx2234
ul111;ObjectProperty;to;mx2234
e-2228;ObjectProperty;to;xv2230a-4
s-2230a;ObjectProperty;to;exit1
